"id","name_CN","name_EN","level","function_name","description","example","repairPlan"
"69","Struts 2 不良操纵：会话映射篡改","Struts 2 Bad Practices: Session Map Tampering","高危",,"在 Struts 2 框架中，如果会话映射（Session Map）未正确保护，攻击者可能通过操纵会话数据来提升权限或执行未经授权的操作。这种漏洞通常由于未对用户输入进行严格验证和过滤导致。","import com.opensymphony.xwork2.ActionSupport;
import java.util.Map;
import org.apache.struts2.interceptor.SessionAware;

public class SessionManipulation extends ActionSupport implements SessionAware {
    private Map<String, Object> session;

    @Override
    public void setSession(Map<String, Object> session) {
        this.session = session;
    }

    public String execute() {
        // 未验证用户输入，直接操作会话数据
        session.put(""userRole"", ""admin"");
        return SUCCESS;
    }
}","1.对用户输入进行严格的验证和过滤，确保输入数据符合预期的格式和类型。
2.避免直接使用用户输入操作会话数据。
3.使用安全的会话管理机制，确保会话数据不会被篡改。
4.定期进行安全审计和代码审查，确保没有潜在的会话操纵漏洞。"
"70","拒绝服务：路由","Denial of Service: Routing","高危",,"在路由配置中，如果未正确限制请求频率或未处理异常情况，攻击者可能通过发送大量请求导致服务不可用。这种拒绝服务（DoS）攻击会消耗系统资源，导致合法用户无法访问服务。","import org.springframework.web.bind.annotation.GetMapping;
import org.springframework.web.bind.annotation.RestController;

@RestController
public class DoSRoute {
    @GetMapping(""/resource"")
    public String getResource() {
        // 未限制请求频率，可能导致拒绝服务
        return ""Resource data"";
    }
}","1.使用限流机制（如令牌桶或漏桶算法）限制请求频率。
2.配置 Web 服务器或反向代理（如 Nginx）来过滤恶意请求。
3.对异常情况进行处理，避免因异常导致服务不可用。"
"71","Kubernetes 配置错误：HTTP 基本身份验证","Kubernetes Misconfiguration: HTTP Basic Authentication","中危",,"在 Kubernetes 中，如果使用 HTTP 基本身份验证（Basic Authentication）而未启用 HTTPS，攻击者可能通过中间人攻击窃取凭据。此外，弱密码策略也可能导致凭据被暴力破解。","import io.kubernetes.client.openapi.ApiClient;
import io.kubernetes.client.openapi.Configuration;
import io.kubernetes.client.openapi.apis.CoreV1Api;
import io.kubernetes.client.openapi.models.V1PodList;
import io.kubernetes.client.util.Config;

public class KubernetesBasicAuth {
    public static void main(String[] args) throws Exception {
        // 使用 HTTP 基本身份验证连接到 Kubernetes API
        ApiClient client = Config.fromUserPassword(""http://localhost:8080"", ""admin"", ""password"");
        Configuration.setDefaultApiClient(client);

        CoreV1Api api = new CoreV1Api();
        V1PodList pods = api.listPodForAllNamespaces(null, null, null, null, null, null, null, null, null);
        System.out.println(""Pods: "" + pods.getItems().size());
    }
}","1.使用 HTTPS 代替 HTTP，确保通信加密。
2.避免使用 HTTP 基本身份验证，改用更安全的身份验证机制（如 OAuth 或客户端证书）。
3.实施强密码策略，防止凭据被暴力破解。
4.定期轮换凭据，并限制凭据的访问范围。"
"72","OpenAPI 配置错误：不安全的传输","OpenAPI Misconfiguration: Insecure Transport","中危",,"在 OpenAPI 配置中，如果 API 使用不安全的传输协议（如 HTTP），攻击者可能通过中间人攻击窃取敏感数据或篡改请求/响应内容。未加密的通信会暴露 API 密钥、用户凭据等敏感信息。","import io.swagger.v3.oas.models.OpenAPI;
import io.swagger.v3.oas.models.servers.Server;

public class OpenAPIInsecureTransport {
    public static void main(String[] args) {
        OpenAPI openAPI = new OpenAPI();
        // 配置不安全的 HTTP 服务器
        openAPI.addServersItem(new Server().url(""http://api.example.com""));
        System.out.println(""OpenAPI configured with insecure transport."");
    }
}","1.使用 HTTPS 代替 HTTP，确保所有通信都经过加密。
2.在 OpenAPI 配置中明确指定安全的传输协议（如 HTTPS）。
3.使用 TLS 1.2 或更高版本，确保加密强度。
4.定期检查 API 配置，确保没有不安全的传输设置。"
"73","WS-SecurityPolicy缺陷：缺少时间戳","Weak WS-SecurityPolicy: Missing Timestamp","低危",,"在 WS-SecurityPolicy 中，如果消息中缺少时间戳，攻击者可能通过重放攻击（Replay Attack）重复发送有效消息，导致服务被滥用或数据被篡改。时间戳用于验证消息的时效性，防止重放攻击。","import org.apache.cxf.ws.security.wss4j.WSS4JOutInterceptor;
import org.apache.cxf.ws.security.policy.SecurityConstants;
import org.apache.cxf.frontend.ClientProxy;

import javax.xml.ws.BindingProvider;
import java.util.HashMap;
import java.util.Map;

public class WSSecurityPolicyMissingTimestamp {
    public static void main(String[] args) {
        MyService service = new MyService();
        MyPortType port = service.getMyPort();

        // 配置 WS-SecurityPolicy，但未包含时间戳
        BindingProvider bp = (BindingProvider) port;
        Map<String, Object> ctx = bp.getRequestContext();
        ctx.put(SecurityConstants.SIGNATURE_PROPERTIES, ""clientKeystore.properties"");

        // 调用 Web 服务
        port.sendMessage(""Hello, World!"");
    }
}","1.在 WS-SecurityPolicy 中强制要求时间戳，确保消息的时效性。
2.使用强加密算法对时间戳进行签名，防止篡改。
3.定期审查和更新安全策略，确保其符合最新的安全标准。
4.对 Web 服务进行安全测试，确保没有遗漏的时间戳配置。"
"74","未定义行为：文件指针取消引用","Undefined Behavior: File Pointer Dereference","中危",,"在 Java 中，如果文件指针被错误地取消引用（例如，在文件关闭后继续使用文件指针），可能导致未定义行为，如空指针异常或数据损坏。这种问题通常由于资源管理不当引起。","import java.io.FileReader;
import java.io.IOException;

public class FilePointerDereference {
    public static void main(String[] args) {
        FileReader reader = null;
        try {
            reader = new FileReader(""example.txt"");
            int data = reader.read();
            System.out.println(""Data: "" + data);
        } catch (IOException e) {
            e.printStackTrace();
        } finally {
            try {
                if (reader != null) {
                    reader.close();
                }
            } catch (IOException e) {
                e.printStackTrace();
            }
        }

        // 错误：文件指针已关闭，但仍尝试使用
        try {
            int data = reader.read(); // 未定义行为
            System.out.println(""Data after close: "" + data);
        } catch (IOException e) {
            e.printStackTrace();
        }
    }
}","1.确保在文件关闭后不再使用文件指针。
2.使用 try-with-resources 语句自动管理资源，避免手动关闭文件指针。
3.对文件操作进行严格的异常处理，确保资源正确释放。
4.定期进行代码审查，确保没有未定义行为的风险。"
"75","AWS Terraform 配置错误：不安全的 RDS 传输","AWS Terraform Misconfiguration: Insecure RDS Transport","中危",,"在使用 AWS Terraform 配置 RDS（Relational Database Service）时，如果未启用加密传输（如 TLS），攻击者可能通过中间人攻击窃取数据库连接中的敏感数据。未加密的数据库连接会暴露凭据和查询内容。","import software.amazon.awssdk.services.rds.RdsClient;
import software.amazon.awssdk.services.rds.model.CreateDbInstanceRequest;

public class TerraformRdsInsecureTransport {
    public static void main(String[] args) {
        RdsClient rdsClient = RdsClient.create();

        // 创建 RDS 实例，但未启用加密传输
        CreateDbInstanceRequest request = CreateDbInstanceRequest.builder()
                .dbInstanceIdentifier(""my-db-instance"")
                .engine(""mysql"")
                .masterUsername(""admin"")
                .masterUserPassword(""password"")
                .allocatedStorage(20)
                .build();

        rdsClient.createDBInstance(request);
        System.out.println(""RDS instance created without secure transport."");
    }
}","1.在 Terraform 配置中启用 RDS 的加密传输（如 TLS）。
2.使用 AWS KMS（Key Management Service）管理加密密钥，确保数据的安全性。
3.定期审查和更新 Terraform 配置，确保符合安全最佳实践。
4.对 RDS 实例进行安全审计，确保没有不安全的配置。"
"76","系统信息泄露：SignalR 暴露的 JavaScript 代理","System Information Leak: SignalR Exposed JavaScript Proxy","中危",,"在 SignalR 中，如果 JavaScript 代理文件未正确保护，攻击者可能通过访问该文件获取敏感信息，如服务器端方法签名或内部逻辑。这种信息泄露可能为攻击者提供进一步攻击的线索。","import com.microsoft.signalr.HubConnection;
import com.microsoft.signalr.HubConnectionBuilder;

public class SignalRJsProxyExposure {
    public static void main(String[] args) {
        // 创建 SignalR 连接
        HubConnection connection = HubConnectionBuilder.create(""http://localhost:5000/chatHub"")
                .build();

        // 启动连接
        connection.start().blockingAwait();
        System.out.println(""SignalR connection started."");

        // 未保护的 JavaScript 代理文件可能暴露在 /chatHub/js 路径下
    }
}","1.限制对 SignalR JavaScript 代理文件的访问，确保只有授权用户可以访问。
2.使用身份验证和授权机制保护 SignalR 端点。
3.对 SignalR 配置进行安全审查，确保没有敏感信息泄露。
4.定期更新 SignalR 库，确保使用最新版本修复已知漏洞。"
"77","不安全的编译器优化：指针算法","Insecure Compiler Optimization: Pointer Arithmetic","高危",,"在 C/C++ 等低级语言中，编译器优化可能会引入不安全的指针算法行为，例如移除边界检查或优化掉关键的安全检查。虽然 Java 本身没有指针，但类似的逻辑错误可能出现在数组操作或内存管理中，导致越界访问或未定义行为。","public class UnsafePointerArithmetic {
    public static void main(String[] args) {
        int[] array = new int[10];
        int index = 15; // 越界索引

        // 不安全的数组访问
        try {
            array[index] = 42; // 可能导致 ArrayIndexOutOfBoundsException
            System.out.println(""Value at index "" + index + "": "" + array[index]);
        } catch (ArrayIndexOutOfBoundsException e) {
            System.out.println(""Caught exception: "" + e.getMessage());
        }
    }
}","1.在数组操作中始终检查索引范围，确保不会越界。
2.使用安全的集合类（如 ArrayList）代替原始数组，以自动处理边界检查。
3.避免手动计算索引，使用迭代器或增强的 for 循环遍历集合。
4.定期进行代码审查，确保没有潜在的越界访问问题。"
"78","跨站脚本：外部链接","Cross-Site Scripting: External Links","中危",,"跨站脚本（XSS）漏洞通常发生在应用程序未对用户输入进行适当过滤或转义的情况下。如果应用程序将外部链接（如用户提供的 URL）直接嵌入到页面中，攻击者可能注入恶意脚本，窃取用户会话或执行其他恶意操作。","import javax.servlet.http.HttpServlet;
import javax.servlet.http.HttpServletRequest;
import javax.servlet.http.HttpServletResponse;
import java.io.IOException;
import java.io.PrintWriter;

public class XSSExternalLink extends HttpServlet {
    @Override
    protected void doGet(HttpServletRequest req, HttpServletResponse resp) throws IOException {
        String userLink = req.getParameter(""link""); // 用户提供的链接
        resp.setContentType(""text/html"");
        PrintWriter out = resp.getWriter();

        // 未对用户输入进行转义，可能导致 XSS
        out.println(""<a href=\"""" + userLink + ""\"">Click here</a>"");
    }
}","1.对所有用户输入进行严格的验证和过滤，确保输入符合预期的格式和类型。
2.使用 HTML 转义库（如 OWASP ESAPI）对用户输入进行转义，防止恶意脚本注入。
3.避免直接将用户输入嵌入到 HTML 或 JavaScript 中。
4.使用内容安全策略（CSP）限制页面中可执行的脚本来源。"
"79","权限管理：Android 消息传递","Privilege Management: Android Messaging","中危",,"在 Android 应用中，如果消息传递机制（如 Intent 或 BroadcastReceiver）未正确管理权限，攻击者可能通过发送恶意消息来执行未经授权的操作或访问敏感数据。","import android.content.BroadcastReceiver;
import android.content.Context;
import android.content.Intent;
import android.util.Log;

public class InsecureBroadcastReceiver extends BroadcastReceiver {
    @Override
    public void onReceive(Context context, Intent intent) {
        // 未验证消息来源，直接处理消息
        String data = intent.getStringExtra(""data"");
        Log.d(""InsecureBroadcastReceiver"", ""Received data: "" + data);
    }
}","1.使用权限保护 BroadcastReceiver，确保只有授权的应用可以发送消息。
2.验证消息来源，确保消息来自可信的应用或组件。
3.避免在 Intent 中传递敏感数据，或对敏感数据进行加密。
4.定期审查和更新权限配置，确保符合最小权限原则。"
"80","GCP Terraform配置错误：Compute Engine Shielded VM 选项已禁用","GCP Terraform Misconfiguration: Compute Engine Shielded VM Option Disabled","中危",,"在 Google Cloud Platform (GCP) 中，Shielded VM 提供了额外的安全功能，如安全启动、虚拟可信平台模块（vTPM）和完整性监控。如果 Terraform 配置中禁用了 Shielded VM 选项，虚拟机可能面临更高的安全风险。","import com.google.cloud.compute.v1.Instance;
import com.google.cloud.compute.v1.InstanceSettings;
import com.google.cloud.compute.v1.ShieldedInstanceConfig;
import com.google.cloud.compute.v1.InsertInstanceRequest;
import com.google.cloud.compute.v1.InstancesClient;

public class GcpShieldedVmDisabled {
    public static void main(String[] args) throws Exception {
        try (InstancesClient client = InstancesClient.create()) {
            // 创建 Compute Engine 实例，但禁用 Shielded VM 选项
            ShieldedInstanceConfig shieldedConfig = ShieldedInstanceConfig.newBuilder()
                    .setEnableSecureBoot(false)
                    .setEnableVtpm(false)
                    .setEnableIntegrityMonitoring(false)
                    .build();

            InstanceSettings settings = InstanceSettings.newBuilder()
                    .setShieldedInstanceConfig(shieldedConfig)
                    .build();

            Instance instance = Instance.newBuilder()
                    .setName(""insecure-instance"")
                    .setMachineType(""zones/us-central1-a/machineTypes/n1-standard-1"")
                    .setSettings(settings)
                    .build();

            InsertInstanceRequest request = InsertInstanceRequest.newBuilder()
                    .setProject(""my-project"")
                    .setZone(""us-central1-a"")
                    .setInstanceResource(instance)
                    .build();

            client.insertCallable().call(request);
            System.out.println(""Instance created with Shielded VM options disabled."");
        }
    }
}","1.在 Terraform 配置中启用 Shielded VM 的所有安全功能（安全启动、vTPM 和完整性监控）。
2.定期审查和更新 Terraform 配置，确保符合安全最佳实践。
3.使用 GCP 的安全扫描工具检测和修复配置错误。
4.对虚拟机实例进行安全审计，确保没有禁用 Shielded VM 选项。"
"81","WebSphere 服务提供商配置错误：缺少出站签名","WebSphere Service Provider Misconfiguration: Missing Outbound Signature","中危",,"在 WebSphere 中，如果出站消息未进行签名，攻击者可能篡改消息内容或冒充合法服务。缺少出站签名会破坏消息的完整性和真实性，导致安全风险。","import com.ibm.websphere.security.WSSecurityException;
import com.ibm.websphere.wssecurity.WSSecurityContext;
import com.ibm.websphere.wssecurity.WSSecurityHelper;

public class WebSphereMissingOutboundSignature {
    public static void main(String[] args) {
        try {
            // 创建 WebSphere 安全上下文
            WSSecurityContext context = WSSecurityHelper.getWSSecurityContext();

            // 配置出站消息，但未启用签名
            context.setProperty(WSSecurityContext.OUTBOUND_SIGNATURE, false);

            // 发送消息
            System.out.println(""Outbound message sent without signature."");
        } catch (WSSecurityException e) {
            e.printStackTrace();
        }
    }
}","1.在 WebSphere 配置中启用出站消息签名，确保消息的完整性和真实性。
2.使用强加密算法对出站消息进行签名。
3.定期审查和更新安全策略，确保其符合最新的安全标准。
4.对 WebSphere 服务进行安全测试，确保没有遗漏的签名配置。"
"82","Azure ARM 配置错误：SQL Server 监控不足","Azure ARM Misconfiguration: Insufficient SQL Server Monitoring","中危",,"在 Azure 资源管理器（ARM）模板中，如果未正确配置 SQL Server 的监控功能（如审计日志、威胁检测等），可能导致无法及时发现和响应安全事件。监控不足会增加数据泄露或未授权访问的风险。","import com.azure.resourcemanager.sql.SqlServerManager;
import com.azure.resourcemanager.sql.models.SqlServer;
import com.azure.resourcemanager.sql.models.SqlServer.DefinitionStages.WithCreate;

public class AzureSqlMonitoringInsufficient {
    public static void main(String[] args) {
        SqlServerManager sqlServerManager = SqlServerManager.authenticate(/* credentials */);

        // 创建 SQL Server，但未启用审计日志或威胁检测
        SqlServer sqlServer = sqlServerManager.sqlServers().define(""my-sql-server"")
                .withRegion(""East US"")
                .withExistingResourceGroup(""my-resource-group"")
                .withAdministratorLogin(""admin"")
                .withAdministratorPassword(""password"")
                .create();

        System.out.println(""SQL Server created with insufficient monitoring."");
    }
}","1.在 ARM 模板中启用 SQL Server 的审计日志和威胁检测功能。
2.配置警报规则，监控异常活动（如大量数据查询或未授权访问）。
3.定期审查监控日志，确保及时发现和响应安全事件。
4.使用 Azure 安全中心提供的建议，优化 SQL Server 的安全配置。"
"83","WebSphere 服务请求者配置错误：未签名的入站时间戳","WebSphere Service Requester Misconfiguration: Unsigned Inbound Timestamp","中危",,"在 WebSphere 中，如果入站消息的时间戳未签名，攻击者可能通过重放攻击（Replay Attack）重复发送有效消息，导致服务被滥用或数据被篡改。未签名的时间戳无法保证其完整性和真实性。","import com.ibm.websphere.security.WSSecurityException;
import com.ibm.websphere.wssecurity.WSSecurityContext;
import com.ibm.websphere.wssecurity.WSSecurityHelper;

public class WebSphereUnsignedInboundTimestamp {
    public static void main(String[] args) {
        try {
            // 创建 WebSphere 安全上下文
            WSSecurityContext context = WSSecurityHelper.getWSSecurityContext();

            // 配置入站消息，但未启用时间戳签名
            context.setProperty(WSSecurityContext.INBOUND_TIMESTAMP_SIGNATURE, false);

            // 接收消息
            System.out.println(""Inbound message received with unsigned timestamp."");
        } catch (WSSecurityException e) {
            e.printStackTrace();
        }
    }
}","1.在 WebSphere 配置中启用入站消息时间戳的签名，确保时间戳的完整性和真实性。
2.使用强加密算法对时间戳进行签名。
3.定期审查和更新安全策略，确保其符合最新的安全标准。
4.对 WebSphere 服务进行安全测试，确保没有遗漏的时间戳签名配置。"
"84","释放后使用","Use After Free","高危",,"在 C/C++ 等低级语言中，释放后使用（Use-After-Free）漏洞发生在程序试图访问已释放的内存区域时。虽然 Java 有垃圾回收机制，但类似的逻辑错误可能出现在资源管理不当的情况下，例如在关闭流后继续使用它。","import java.io.FileInputStream;
import java.io.IOException;

public class UseAfterFree {
    public static void main(String[] args) {
        FileInputStream fis = null;
        try {
            fis = new FileInputStream(""example.txt"");
            int data = fis.read();
            System.out.println(""Data: "" + data);
        } catch (IOException e) {
            e.printStackTrace();
        } finally {
            try {
                if (fis != null) {
                    fis.close();
                }
            } catch (IOException e) {
                e.printStackTrace();
            }
        }

        // 错误：流已关闭，但仍尝试使用
        try {
            int data = fis.read(); // 可能导致 IOException
            System.out.println(""Data after close: "" + data);
        } catch (IOException e) {
            System.out.println(""Caught exception: "" + e.getMessage());
        }
    }
}","1.确保在资源释放后不再使用该资源。
2.使用 try-with-resources 语句自动管理资源，避免手动关闭流。
3.对资源操作进行严格的异常处理，确保资源正确释放。
4.定期进行代码审查，确保没有潜在的资源管理问题。"
"85","WS-SecurityPolicy缺陷：缺少消息标头加密","Weak WS-SecurityPolicy: Missing Encryption on Message Headers","中危",,"在 WS-SecurityPolicy 中，如果消息标头未加密，攻击者可能通过窃听或篡改标头信息，获取敏感数据或破坏消息的完整性。未加密的标头会暴露消息的元数据，增加安全风险。","import org.apache.cxf.ws.security.wss4j.WSS4JOutInterceptor;
import org.apache.cxf.ws.security.policy.SecurityConstants;
import org.apache.cxf.frontend.ClientProxy;

import javax.xml.ws.BindingProvider;
import java.util.HashMap;
import java.util.Map;

public class WSSecurityPolicyMissingHeaderEncryption {
    public static void main(String[] args) {
        MyService service = new MyService();
        MyPortType port = service.getMyPort();

        // 配置 WS-SecurityPolicy，但未启用消息标头加密
        BindingProvider bp = (BindingProvider) port;
        Map<String, Object> ctx = bp.getRequestContext();
        ctx.put(SecurityConstants.SIGNATURE_PROPERTIES, ""clientKeystore.properties"");

        // 调用 Web 服务
        port.sendMessage(""Hello, World!"");
    }
}","1.在 WS-SecurityPolicy 中启用消息标头的加密，确保标头信息的机密性和完整性。
2.使用强加密算法对消息标头进行加密。
3.定期审查和更新安全策略，确保其符合最新的安全标准。
4.对 Web 服务进行安全测试，确保没有遗漏的标头加密配置。"
"86","缺少 SecurityManager 检查：可克隆","Missing SecurityManager Check: Cloneable","高危",,"在 Java 中，如果类实现了 Cloneable 接口但未进行安全检查，攻击者可能通过克隆对象绕过安全限制，访问或修改敏感数据。缺少 SecurityManager 检查会增加安全风险。","public class InsecureCloneable implements Cloneable {
    private String sensitiveData;

    public InsecureCloneable(String sensitiveData) {
        this.sensitiveData = sensitiveData;
    }

    @Override
    public Object clone() throws CloneNotSupportedException {
        return super.clone(); // 未进行安全检查
    }

    public String getSensitiveData() {
        return sensitiveData;
    }

    public static void main(String[] args) throws CloneNotSupportedException {
        InsecureCloneable original = new InsecureCloneable(""Secret Data"");
        InsecureCloneable cloned = (InsecureCloneable) original.clone();

        System.out.println(""Cloned data: "" + cloned.getSensitiveData());
    }
}","1.在 clone 方法中添加安全检查，确保只有授权代码可以克隆对象。
2.使用 SecurityManager 限制敏感操作的执行。
3.避免实现 Cloneable 接口，除非确实需要克隆功能。
4.对敏感数据进行深度复制，确保克隆对象不会暴露原始数据。"
"87","不安全的 SSL：Android 自定义实施","Insecure SSL: Android Customized Implementation","高危",,"在 Android 应用中，如果开发者自定义实现 SSL/TLS 连接（例如忽略证书验证或使用不安全的协议版本），可能导致中间人攻击（MITM）。攻击者可以窃听或篡改加密通信，泄露敏感数据。","import javax.net.ssl.*;
import java.io.IOException;
import java.io.InputStream;
import java.net.URL;
import java.security.cert.X509Certificate;

public class InsecureSSLAndroid {
    public static void main(String[] args) throws IOException {
        // 创建不信任所有证书的 TrustManager
        TrustManager[] trustAllCerts = new TrustManager[]{
            new X509TrustManager() {
                public X509Certificate[] getAcceptedIssuers() {
                    return new X509Certificate[0];
                }
                public void checkClientTrusted(X509Certificate[] certs, String authType) {}
                public void checkServerTrusted(X509Certificate[] certs, String authType) {}
            }
        };

        // 创建 SSLContext 并使用不安全的 TrustManager
        try {
            SSLContext sc = SSLContext.getInstance(""SSL"");
            sc.init(null, trustAllCerts, new java.security.SecureRandom());
            HttpsURLConnection.setDefaultSSLSocketFactory(sc.getSocketFactory());
        } catch (Exception e) {
            e.printStackTrace();
        }

        // 发起 HTTPS 请求
        URL url = new URL(""https://example.com"");
        HttpsURLConnection conn = (HttpsURLConnection) url.openConnection();
        conn.setHostnameVerifier((hostname, session) -> true); // 忽略主机名验证

        InputStream inputStream = conn.getInputStream();
        // 处理输入流
        inputStream.close();
    }
}","1.使用系统默认的 SSL/TLS 实现，避免自定义 TrustManager。
2.确保证书验证严格匹配主机名，避免忽略主机名验证。
3.使用 TLS 1.2 或更高版本，避免不安全的协议（如 SSLv3）。
4.定期更新 SSL/TLS 配置，确保符合最新的安全标准。"
"88","代码正确性：错误的字符串比较","Code Correctness: Erroneous String Compare","中危",,"在 Java 中，使用 == 比较字符串会导致逻辑错误，因为 == 比较的是对象引用而非内容。正确的做法是使用 equals() 方法比较字符串内容。","public class IncorrectStringComparison {
    public static void main(String[] args) {
        String str1 = new String(""hello"");
        String str2 = new String(""hello"");

        // 错误的字符串比较
        if (str1 == str2) {
            System.out.println(""Strings are equal"");
        } else {
            System.out.println(""Strings are not equal""); // 输出此结果
        }
    }
}","1.使用 equals() 方法比较字符串内容，而不是 ==。
2.对于可能为 null 的字符串，使用 Objects.equals() 方法避免空指针异常。
3.在代码审查中特别注意字符串比较逻辑，确保正确性。
4.使用静态分析工具检测潜在的字符串比较错误。"
"89","AWS CloudFormation 配置错误：Redshift 网络访问控制不正确","AWS CloudFormation Misconfiguration: Improper Redshift Network Access Control","高危",,"在 AWS CloudFormation 中，如果 Redshift 集群的网络访问控制配置不正确（如公开访问或宽松的安全组规则），可能导致未授权访问或数据泄露。","import software.amazon.awssdk.services.cloudformation.CloudFormationClient;
import software.amazon.awssdk.services.cloudformation.model.CreateStackRequest;
import software.amazon.awssdk.services.cloudformation.model.Parameter;

import java.util.Collections;

public class RedshiftIncorrectNetworkAccess {
    public static void main(String[] args) {
        CloudFormationClient client = CloudFormationClient.create();

        // 创建 Redshift 集群，但网络访问控制配置不正确
        CreateStackRequest request = CreateStackRequest.builder()
                .stackName(""MyRedshiftStack"")
                .templateBody(""{ \""Resources\"": { \""MyRedshiftCluster\"": { \""Type\"": \""AWS::Redshift::Cluster\"", \""Properties\"": { \""PubliclyAccessible\"": true } } } }"")
                .parameters(Collections.singletonList(Parameter.builder()
                        .parameterKey(""ClusterName"")
                        .parameterValue(""MyRedshiftCluster"")
                        .build()))
                .build();

        client.createStack(request);
        System.out.println(""Redshift cluster created with incorrect network access control."");
    }
}","1.在 CloudFormation 模板中设置 PubliclyAccessible 为 false，禁止 Redshift 集群公开访问。
2.使用严格的安全组规则，限制 Redshift 集群的访问来源。
3.定期审查和更新 CloudFormation 配置，确保符合安全最佳实践。
4.使用 AWS IAM 策略限制对 Redshift 集群的访问权限。"
"90","缓冲区溢出：格式字符串","Buffer Overflow: Format String","高危",,"在 C/C++ 中，格式字符串漏洞发生在使用 printf 等函数时，未正确指定格式字符串，导致攻击者可能读取或写入任意内存。虽然 Java 没有直接的格式字符串漏洞，但类似的逻辑错误可能出现在字符串格式化中。","public class FormatStringVulnerability {
    public static void main(String[] args) {
        String userInput = ""%s %s %s""; // 恶意输入
        String formattedString = String.format(userInput, ""A"", ""B"", ""C"");
        System.out.println(formattedString);
    }
}","1.避免直接使用用户输入作为格式字符串。
2.对用户输入进行严格的验证和过滤，确保输入符合预期的格式和类型。
3.使用固定的格式字符串，避免动态拼接格式字符串。
4.定期进行代码审查，确保没有潜在的格式化逻辑错误。"
"91","Azure Terraform 配置错误：MySQL 缺少基础设施加密","Azure Terraform Misconfiguration: MySQL Missing Infrastructure Encryption","高危",,"在 Azure 中，如果 MySQL 数据库的基础设施加密未启用，可能导致数据在存储或传输过程中被窃取或篡改。基础设施加密提供了额外的保护层，确保数据的安全性。","import com.azure.resourcemanager.mysql.MySqlManager;
import com.azure.resourcemanager.mysql.models.Server;
import com.azure.resourcemanager.mysql.models.ServerProperties;

public class AzureMySqlMissingEncryption {
    public static void main(String[] args) {
        MySqlManager mySqlManager = MySqlManager.authenticate(/* credentials */);

        // 创建 MySQL 服务器，但未启用基础设施加密
        Server server = mySqlManager.servers().define(""my-mysql-server"")
                .withRegion(""East US"")
                .withExistingResourceGroup(""my-resource-group"")
                .withAdministratorLogin(""admin"")
                .withAdministratorPassword(""password"")
                .withSku(""GP_Gen5_2"")
                .create();

        System.out.println(""MySQL server created without infrastructure encryption."");
    }
}","1.在 Terraform 配置中启用 MySQL 的基础设施加密，确保数据在存储和传输过程中得到保护。
2.使用 Azure Key Vault 管理加密密钥，确保密钥的安全性。
3.定期审查和更新 Terraform 配置，确保符合安全最佳实践。
4.对 MySQL 数据库进行安全审计，确保没有遗漏的加密配置。"
"92","AWS CloudFormation 配置错误：RDS 网络访问控制不正确","AWS CloudFormation Misconfiguration: Improper RDS Network Access Control","高危",,"在 AWS CloudFormation 中，如果 RDS（Relational Database Service）实例的网络访问控制配置不正确（如公开访问或宽松的安全组规则），可能导致未授权访问或数据泄露。","import software.amazon.awssdk.services.cloudformation.CloudFormationClient;
import software.amazon.awssdk.services.cloudformation.model.CreateStackRequest;
import software.amazon.awssdk.services.cloudformation.model.Parameter;

import java.util.Collections;

public class RdsIncorrectNetworkAccess {
    public static void main(String[] args) {
        CloudFormationClient client = CloudFormationClient.create();

        // 创建 RDS 实例，但网络访问控制配置不正确
        CreateStackRequest request = CreateStackRequest.builder()
                .stackName(""MyRdsStack"")
                .templateBody(""{ \""Resources\"": { \""MyRdsInstance\"": { \""Type\"": \""AWS::RDS::DBInstance\"", \""Properties\"": { \""PubliclyAccessible\"": true } } } }"")
                .parameters(Collections.singletonList(Parameter.builder()
                        .parameterKey(""DBInstanceIdentifier"")
                        .parameterValue(""MyRdsInstance"")
                        .build()))
                .build();

        client.createStack(request);
        System.out.println(""RDS instance created with incorrect network access control."");
    }
}","1.在 CloudFormation 模板中设置 PubliclyAccessible 为 false，禁止 RDS 实例公开访问。
2.使用严格的安全组规则，限制 RDS 实例的访问来源。
3.定期审查和更新 CloudFormation 配置，确保符合安全最佳实践。
4.使用 AWS IAM 策略限制对 RDS 实例的访问权限。"
"93","Kubernetes 配置错误：API 服务器日志记录已禁用","Kubernetes Misconfiguration: API Server Logging Disabled","中危",,"在 Kubernetes 中，如果 API 服务器的日志记录功能被禁用，可能导致无法追踪和审计集群中的操作。日志记录的缺失会增加安全风险，使得攻击行为难以被发现。","import io.kubernetes.client.openapi.ApiClient;
import io.kubernetes.client.openapi.Configuration;
import io.kubernetes.client.openapi.apis.CoreV1Api;
import io.kubernetes.client.util.Config;

public class KubernetesApiServerLoggingDisabled {
    public static void main(String[] args) throws Exception {
        // 创建 Kubernetes 客户端
        ApiClient client = Config.defaultClient();
        Configuration.setDefaultApiClient(client);

        CoreV1Api api = new CoreV1Api();

        // 假设 API 服务器日志记录已禁用
        System.out.println(""API server logging is disabled."");
    }
}","1.启用 Kubernetes API 服务器的日志记录功能，确保所有操作都被记录。
2.配置日志存储和保留策略，确保日志数据不会丢失。
3.定期审查日志，检测异常活动或潜在的安全威胁。
4.使用集中式日志管理工具（如 ELK Stack）分析和监控日志。"
